    app2();<br/><br/>            1331
<br/><br/>    小小的车子上，坐着的是一名爆炸头，戴着墨镜，体格健壮的黑人司机。
<br/><br/>    黑人司机看了一眼那架飞机的编号后，拿出一本名录册子对照了一下，然后对悠，沿着岛上的石板路，进入集镇。
<br/><br/>    当看到热闹非凡的集镇，和前方那座恢宏的山顶城堡，众人都看得有些出神。
<br/><br/>    突然，车子在一处看似酒馆的门口停下了。
<br/><br/>    “下车吧”，黑人司机拿起一块写有“62”的木头牌子，递给叶龙腾，道：“拿着牌子，进里面，会有人招待你们”。
<br/><br/>    叶龙腾诧异道：“我们在这里等？不是去那个[笔趣阁 www.biqugexx.xyz]城堡？”
<br/><br/>    黑人都乐了，“你们想得美！那是地狱君王的城堡，闲杂人等，没有得到召见，谁都不许进入。”
<br/><br/>    说着，就把五人全都催促赶下车，然后黑人司机一调头，就唱着rap离开了。
<br/><br/>    叶龙腾和姬玉堂有些面色尴尬，好在三个老人也听不懂外语，不然非得又气死。
<br/><br/>    闲杂人等……氏族老祖，竟然成了闲杂人等……
<br/><br/>    他们也不敢如实翻译，只说先进这里休息一下，就走入了酒馆。
<br/><br/>    进去以后，众人发现，里面几乎坐了上百的访客，来自世界各地，穿着肤色各有不同的访客，正在那里热络聊着天，但清一色看着都非富即贵。
<br/><br/>    一个穿着巴伐利亚民族风裙子的白人大胖妞，接过他们的牌子后，领着他们来到一张桌子边。
<br/><br/>    “六十二号的各位，先在这里等着吧，我会把基本的接待套餐给你们上上来，其他要什么吃的喝的，可以跟我说”。
<br/><br/>    没多久，大胖妞就端着两个大托盘，送上来一堆热带水果和美食，还有一些葡萄酒、威士忌和饮料。
<br/><br/>    姬蓬春和叶春华从未见过这些东西，看着一桌子吃的喝的，面露疑色。
<br/><br/>    “这都什么？果子和酒水，全都稀奇古怪，莫非有毒？”姬蓬春蹙眉道。
<br/><br/>    叶龙腾和姬玉堂只能苦笑，慢慢给老祖们解释了一下。
<br/><br/>    “那司机说得倒没错，招待客人竟然用的都是极品白兰地和苏格兰威士忌，还有珴国鱼子酱……
<br/><br/>    这小子，在海外简直挥金如土啊，在国内的时候，还真没看出来”，叶龙腾喝了口酒，感叹道。
<br/><br/>    “相比于他收到的财物，这点东西，九牛一毛罢了”，姬玉堂眯眼道。
<br/><br/>    姬蓬春和叶春华等三个老人，虽然对岛上的一些东西，有代沟无法理解，但这会儿也渐渐感受到，这看似风光原始的岛屿，实则到处透着不凡。
<br/><br/>    不说这里的建筑和隐藏的防御工事，单是这里生活的这些男女老少，很多都是有修为的练家子，或是有军事素养的人员。
<br/><br/>    但在这里，所有人都抛开了在外界的身份，默默地做着自己的岛民，返璞归真。
<br/><br/>    这既是一种岛上的生活与文化氛围，也是一种强烈的归属感，一种信念……
<br/><br/>    他们显然都着同样的信仰，他们相信叶帆，带给了他们一个与世无争，安居乐业的家园。
<br/><br/>    叶龙腾和叶春华，看到这一些景象，都是暗暗佩服叶帆的成就，这绝对不是一个单纯的战场猛将，一个莽夫能够做到的。
<br/><br/>    不过，姬家的三人，则都更加忧虑起来……
<br/><br/>    每隔十几二十分钟，就会有人过来，按号牌叫人出去，坐车子前往城堡方向。
<br/><br/>    五人等在那里，看着自己的号码牌，都已经有些不耐烦，姬蓬春的脸色尤为难看。
<br/><br/>    等了一个多钟头，酒馆门口传来一些异常的响动，似乎有什么特别的人走进了馆子里。
<br/><br/>    叶龙腾见到来人，顿时眼里闪过一丝喜色，忙站起身打招呼道：“军师！”<br/><br/>
